F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,Cls
1.0,0.9733333333333333,0.0,0.018204174193989807,0.5,0.18571428571428572,1.0,0.691616535066696,0.018204174193989807,1.0,0.5387072502502294,NonSpammer
1.0,1.0,1.0,0.4943439257883005,0.5,0.3142857142857143,1.0,0.328377903678804,0.4943439257883005,1.0,0.7131351469541121,Spammer
1.0,1.0,0.5416666666666667,0.5712844183184824,0.5,0.5428571428571428,1.0,0.3029382537184261,0.5712844183184824,1.0,0.70300308998792,Spammer
1.0,1.0,1.0,0.46573790780795116,0.5,0.2857142857142857,1.0,0.3055673735372827,0.46573790780795116,1.0,0.7022757474867471,Spammer
1.0,1.0,1.0,0.4607201650634241,0.5,0.34285714285714286,1.0,0.31150790074705476,0.4607201650634241,1.0,0.7075805373731046,Spammer
1.0,1.0,1.0,0.5364088755209927,0.5,0.45714285714285713,1.0,0.32992887028562085,0.5364088755209927,1.0,0.7359889478470463,Spammer
1.0,0.9636363636363636,0.0,0.02666751259493195,0.5,0.11428571428571428,1.0,0.6414375956339038,0.02666751259493195,1.0,0.5272694698745845,NonSpammer
1.0,0.984,0.0,0.024974770740536133,0.5,0.14285714285714285,1.0,0.7503742094753264,0.024974770740536133,1.0,0.5427180893813542,NonSpammer
1.0,1.0,1.0,0.7026282051282051,0.5,0.2857142857142857,1.0,0.1444644970414201,0.7026282051282051,1.0,0.7335435193012115,Spammer
1.0,1.0,1.0,0.35787894783929025,0.5,0.3142857142857143,1.0,0.49250603114016395,0.35787894783929025,1.0,0.7022549641104459,Spammer
1.0,0.9298245614035088,0.0,0.01764801265548946,0.5,0.08571428571428572,1.0,0.7310168368903445,0.01764801265548946,1.0,0.5281851709319118,NonSpammer
1.0,0.9374233128834355,0.0,0.01654118396179507,0.5,0.08571428571428572,1.0,0.6432216874514576,0.01654118396179507,1.0,0.519944165397277,NonSpammer
1.0,0.9733333333333333,0.0,0.025024446063926325,0.5,0.12857142857142856,1.0,0.6479677591407489,0.025024446063926325,1.0,0.5299921413173363,NonSpammer
1.0,1.0,1.0,0.5681334692356182,0.5,0.34285714285714286,1.0,0.2953744320822839,0.5681334692356182,1.0,0.7274498513410663,Spammer
1.0,0.9575757575757576,0.0,0.026352514782762848,0.5,0.08571428571428572,1.0,0.7361843855114651,0.026352514782762848,1.0,0.5332179458367035,NonSpammer
0.8,0.9575757575757576,0.0,0.022974586370769923,0.5,0.08571428571428572,1.0,0.6244449650334057,0.022974586370769923,1.0,0.5013684181064989,NonSpammer
1.0,1.0,0.5416666666666667,0.35249731318406663,0.5,0.3,1.0,0.4232426688185623,0.35249731318406663,1.0,0.6469903961853363,Spammer
1.0,0.9636363636363636,0.0,0.029089544796680734,0.5,0.08571428571428572,1.0,0.6802692808457671,0.029089544796680734,1.0,0.5287799019789777,NonSpammer
1.0,0.9311827956989248,0.0,0.02860915219786188,0.5,0.12857142857142856,1.0,0.7199657360798004,0.02860915219786188,1.0,0.5336938264745877,NonSpammer
0.8,0.9621621621621621,0.0,0.024442527499547395,0.5,0.1,1.0,0.5138272522306561,0.024442527499547395,1.0,0.4924874469391913,NonSpammer
1.0,0.972972972972973,0.0,0.02788284794102308,0.5,0.08571428571428572,1.0,0.6718572371544248,0.02788284794102308,1.0,0.528631019172373,NonSpammer
0.8,0.95,0.0,0.03055231824676853,0.5,0.08571428571428572,1.0,0.8164501203843063,0.03055231824676853,1.0,0.5213269042592129,NonSpammer
1.0,0.9777777777777779,0.0,0.02711657114960782,0.5,0.08571428571428572,1.0,0.4640826219617174,0.02711657114960782,1.0,0.5081807827752998,NonSpammer
1.0,1.0,1.0,0.43488504321071386,0.5,0.5428571428571428,1.0,0.375554589860319,0.43488504321071386,1.0,0.7288181819138889,Spammer
1.0,0.9565217391304348,0.0,0.022137754642018333,0.5,0.08571428571428572,1.0,0.5494879215509588,0.022137754642018333,1.0,0.5135999455679716,NonSpammer
1.0,1.0,1.0,0.7052661561242217,0.5,0.4857142857142857,1.0,0.12231365210226507,0.7052661561242217,1.0,0.7518560250064994,Spammer
0.8,0.9636363636363636,0.0,0.036167764160721906,0.5,0.08571428571428572,1.0,0.6167997671753522,0.036167764160721906,1.0,0.5038485944847446,NonSpammer
1.0,0.9777777777777779,0.0,0.023987717628528804,0.5,0.14285714285714285,1.0,0.488638003588023,0.023987717628528804,1.0,0.5157248359480001,NonSpammer
1.0,0.9374233128834355,0.0,0.020017716136126445,0.5,0.1,1.0,0.7377973491491737,0.020017716136126445,1.0,0.5315256094304862,NonSpammer
0.8,1.0,1.0,0.48766183056816137,0.5,0.35714285714285715,1.0,0.3929238943157435,0.48766183056816137,1.0,0.7025390412594923,Spammer
0.8,1.0,1.0,0.6173148148148148,0.5,0.5142857142857142,1.0,0.2765280864197531,0.6173148148148148,1.0,0.7325443430335097,Spammer
1.0,1.0,1.0,0.4552084657316524,0.5,0.4142857142857143,1.0,0.31581139529483093,0.4552084657316524,1.0,0.714051404104385,Spammer
0.8,1.0,1.0,0.6123425261083293,0.5,0.6,1.0,0.22624282574847207,0.6123425261083293,1.0,0.735092787796513,Spammer
1.0,1.0,1.0,0.4620243163637791,0.5,0.32857142857142857,1.0,0.3868551543258828,0.4620243163637791,1.0,0.7139475215624869,Spammer
0.8,0.9565217391304348,0.0,0.02772207940961833,0.5,0.11428571428571428,1.0,0.6564438201107563,0.02772207940961833,1.0,0.5082695432346143,NonSpammer
0.8,0.9925925925925926,0.0,0.02749592061186264,0.5,0.08571428571428572,1.0,0.6544738606700286,0.02749592061186264,1.0,0.5087772580200631,NonSpammer
